id	title	content	category
1474	"Cole faces lengthy injury lay-off
"	aston villa carlton cole week knee injury striker season-long loan chelsea picked knock england under- match holland earlier month carlton action week bad challenge said villa bos david oleary wont able tell need operation maybe week operation got left chelsea cole struggled ankle problem earlier season unable rest oleary shortage striker return fitness darius vassell month broken ankle emergence luke moore alleviated villa manager problem department	sport
575	"US box office set for record high
"	ticket sale box office predicted break record year figure expected reach  billion beating  all-time high overall figure dampened lack christmas hit like year oscar-winning lord ring traditionally ticket sale festive season account  annual total admission actually fallen year predicted high increasing ticket price according exhibitor relation president paul dergarabedian average cost cinema ticket high   compared   year biggest hit passion christ fahrenheit / came outside major studio usually responsible key blockbuster film did audience necessarily film lot money said mr dergarabedian added surprise hit come art-house offering napoleon dynamite critical hit sideways sony picture responsible hit like spiderman  grudge expected domestic market share second time year  billion-plus sale consecutive year sony picture entertainment vice chairman jeff blake said really diverse slate year certainly pulled surprise grudge horror movie grudge cost sony  million make brought  million latest recent trend hollywood studio upper lower end market whilst ignoring middle warner likely end year second place market share  billion disney number	entertainment
1672	"Player burn-out worries Robinson
"	england coach andy robinson say english rugby act prevent injury destroying player career host big name nation intensity professional rugby union hit player injury sport look injury occur english season robinson told bbc sport think player probably going year taken career robinson missing entire midfield nation like jonny wilkinson mike tindall greenwood injured rugby union far physically demanding game went professional nearly  year ago result major stakeholder english rugby launched injury audit player coping audit jointly funded professional rugby player association rugby football union premier rugby far robinson concerned finding ignored think there injury audit coming march thats got great information think everybody english game got look said dont situation going worse better think rugby got look	sport
1162	"UKIP's secret weapon?
"	measure new yorker dick morris thing american love - winner man pundit believe single-handedly responsible clinton sensational  comeback victory morris ideologue worked election strategist number republican recently politician mexico uruguay london uk independence party not-so-secret electoral weapon returning ukraine helped - guessed - opposition candidate viktor yushchenko regular criticism levelled morris ready switch allegiance enjoys game politics britain ukip despite recent eu election success likely pull sensational victory looming general election subject morris appears evangelical cruise mediterranean coincidentally ukip leader roger knapman just written piece saying english channel wider atlantic liked went ukip particularly attracts think simply chance practice art irrespective politics think greatest threat democracy world terrorism bureaucratism great soundbite surprise coming new yorker post  september growth body composed expert know better dont believe letting democracy govern believe letting correct solution determined thats international banker world trade organisation international monetary fund world bank primarily european union help ukip britain organisation belief unreformable inherently undemocratic scathing tory party appears believe unreformable tory party schizophrenic europe somebody say willing leave eu possibly re-negotiate michael howard pledged like walking liquor store gun rob saying proceed robbery want make clear going shoot anybody possibly american analogy great soundbite basic point eu seek political integration entire nexus decision making away britain - oppose tory trusted oppose ukips job destroy tory member robert kilroy-silk notoriously declared aim ukip withdraw eu relation tory stiffen tory spine issue having large ukip vote tory direction refusing just shift tory think ukip huge tony blair decision hold referendum european constitution think huge refusal euro subject mr kilroy-silk mr morris despatch neat soundbites robert kilroy silk team player - good idea party stand thing big plan general election achieve breakthrough look going forming government said doe ukip fight seat  presidential election say outcome decided small number swing seat - just belief britain limited resource aim target seat end day significant group common belief possible internet big poll internet decisive factor  presidential election - blog individual posting view online diary people just did happen general election inherent instability moment labour tory drawn consensus tightly left room voice suggests lead hung parliament ukip holding balance power huge task surely undoubtedly sense general election produce surprise - believe labour taking ukips performance year european election just shocker showed mr morris point new consensus reputation sustain	politics
140	"BMW reveals new models pipeline
"	bmw preparing enter market car-style people carrier firm chief told bbc news speaking bmw event ahead geneva motor helmut panke predicted demand crossover vehicle soar europe contrast said popularity van-style seven-seat vehicle traditional saloon car fade customer moving mini-van traditional concept attractive anymore said decided bmw enter crossover segment said clearest indication car maker intention mr panke praised honda accura best execution crossover vehicle decided bmw brand enter segment said decision just bmw manage entry new market half  typically take year decision taken new model hit street mr panke said implying bmw crossover market  coming switch driven need successful carmaker stay aware trans-atlantic difference car market mr panke insisted driver tend prefer sport utility vehicle suv bmw  sibling  europe demand crossover vehicle likely considerable mr panke said there growing market said going way	business
1923	"Honour for UK games maker
"	leading british computer game maker peter molyneux obe new year honour list head surrey lionhead studio granted honour service computer game industry mr molyneux ground-breaking game  year populous theme park dungeon keeper black white widely credited helping create popularise so-called god-game genre speaking bbc news website mr molyneux said receiving honour surprise come completely blue said guessed id kind honour said surprised long ago people thought computer gaming fad thought like skateboarding said craze thought away said gaming world rival movie industry sale cultural influence britain play big said founding nation industry mr molyneux pivotal figure computer game industry  year career started bullfrog studio  produced populous god-games title gave player control life small population computerised people mr molyneux said involvement game industry started accident early day game making hobby career thought treat populous weird said huge international success left bullfrog  set lionhead studio ambitous widely acclaimed game black white title come lionhead put player charge movie studio task producing directing hit film veteran game maker say problem solve absolute geek ive got idea im going wear pick said	tech
1135	"Sport betting rules in spotlight
"	group mp peer called tightening regulation controlling betting sport parliamentary group betting gaming held substantial inquiry betting year followed fear massive increase betting sport using internet mobile phone led cheating all-party group recommended  way protect punter improve integrity sport betting include proposal raising maximum jail sentence gambling cheat current year lord condon head international cricket council anti-corruption unit originally longer prison sentence said two-year penalty derisory bigger sentence failing pay hotel criminally corruption major sport symbolically higher penalty pass house appropriate report recommended governing body sport say type bet offered punter bookmaker set audit trail - new betting exchange - allow suspicious betting pattern traced lord faulkner worcester chaired inquiry said whilst accept greater sport betting corrupt unfair punter evidence convinces growth betting exchange - facility provide bet result - increased potential corruption important government work sporting administrator review difficulty faced governing body convicting guilty penalising appropriately panel aim try define constitutes cheating ass going suggest government right growth internet mobile phone betting creation betting exchange allow punter fix odds betting exchange allow punter win lay lose horse mean control odds winning placing money way	politics
81	"Takeover rumour lifts Exel shares
"	share storage delivery firm exel closed  two-and-a-half year high tuesday speculation receive imminent takeover bid talk city giant united parcel service ups likely bidder firm name mentioned connection buying exel dhl-owner deutsche post finance firm ge capital share closing tuesday  bracknell-based exel currently valued   exel employ  people  country active consolidation logistics sector paying  buy fellow uk firm tibbett britten august customer include boot burberry mothercare consumer product giant procter gamble andrew beh broker ing said ups deutsche post likely bidder offer  share fair bidding battle did break great strategic fit company said interested expanding logistics make decent case cost synergy justify premium thats make argument revenue synergy	business
360	"US consumer confidence up
"	consumer confidence state economy highest month optimistic  influential survey say feel-good factor consumer rose december time july according new data conference board survey  household pointed renewed optimism job creation economic growth retailer reported strong sale past  day slow start crucial festive season according figure released tuesday sale shopping mall week  december  higher  following minute rush wal-mart largest retailer said december sale expected better previously forecast strong post-christmas sale expecting annual sale growth   month consumer confidence figure considered key economic indicator consumer spending account third economic activity united state continuing economic expansion combined job growth consumer ending year high note said lynn franco director conference board consumer research centre consumer outlook suggests economy continue expand half year overall economy performed strongly recent month prompting federal reserve increase rate time june	business
374	"S Korean credit card firm rescued
"	south korea largest credit card firm averted liquidation following trillion won   bail-out lg card threatened collapse huge debt firm creditor parent stepped rescue consortium creditor lg group family owned conglomerate  stabilise firm lg card seven million customer collapse sent shockwaves country economy firm creditor -  lg card - trying agree deal secure future week took control company january avoided bankruptcy  bail-out threatened delist company triggered massive debt redemption forced company bankruptcy unless agreement reached future funding lg card need financial aid laah chong-gyu executive director korea development bank - firm creditor - said agreement  trillion won debt converted equity purpose capital injection avoid delisting goal met david kim analyst sejong security told reuters south korea consumer credit market slowly recovering crisis  credit bubble burst million consumer fell debt repayment lg card returned profit september needed capital avoid thrown market south korea stock exchange delist firm debt exceeds asset year running	business
1682	"Robinson wants dual code success
"	england rugby union captain jason robinson targeted dual code success australia saturday robinson rugby league international switching code  lead england australia twickenham  gmt  gmt great britain rugby league team australia final tri-nations tournament beating aussie game massive achievement especially league said robinson england chance seal autumn international victory successive win canada south africa gaining revenge june - hammering wallaby great britain end  year failure australia victory elland road britain won individual test match failed secure silverware win ash series victory  great opportunity land trophy massive boost rugby league country won said robinson know boy - theyve defeated aussie tri-nations robinson losing sight task facing england final autumn international weve played won november said beat australia end great autumn series england stumble looking regret robinson revealed union sent great britain team good luck message ahead showdown leeds signed card today write email saturday wishing best said robinson signed card - lot guy watch league support fully game tough hopefully	sport
232	"Bat spit drug firm goes to market
"	german firm main product derived saliva vampire bat looking raise  euro   stock market firm paion said hoped sell  million share - firm - - euro share main drug desmoteplase based protein bat saliva protein stop blood clotting - help bat drink victim used help stroke sufferer company share sale later week scheduled start trading frankfurt stock exchange  february final price range company valued  euro money raised spent largely developing company drug desmoteplase licensed manufacturer forest laboratory	business
1453	"Benitez issues warning to Gerrard
"	liverpool manager rafael benitez ordered captain steven gerrard play champion league ambition positive gerrard told bbc liverpool unlikely win trophy year benitez responded spoke steven said future better think win champion league said need winner thinking winning want win benitez added lose think solution think winning game dont know draw win game maybe draw isnt strong injury suspension benitez hoping win trophy arriving liverpool valencia play chelsea carling cup sunday cardiff	sport
2207	"China 'ripe' for media explosion
"	asia set drive global medium growth  china india filling spot analyst predicted japan south korea singapore strong player china demographic edge medium conference london heard world populous country - population  -  million middle-class consumer cent fall key  -year-old demographic result attracting huge foreign investment medium communication analyst told financial time new medium broadcasting conference week china international medium group surged recent month beijing issued rule allowing foreign investment joint-venture television radio film production company news corporation viacom sony picture big name involved joint venture chinese player  million chinese listen  radio station  tv station broadcast  channel china central television cctv state broadcaster claim audience billion people country  million household  million receive cable tv programme rest potential audience satellite broadcasting china plan launch  state administration radio film television sarft regulates broadcasting plan programme digital  continuing roll-out new digital channel boosted demand quality content creating significant opportunity chinese foreign content provider according recent report china authority tightened control foreign investment tv production joint venture limited foreign company joint venture banned involvement unfriendly according report sarft said strong ideological component production broadcast television programme added china understand political tendency background overseas partner prevent joint venture cooperation bringing harmful foreign thinking culture production sector according financial time china correspondent new rule highlight political sensitivity surround foreign involvement china medium sector despite beijing decision open state-dominated sector international investment traditional broadcasting chinese foreign entrepreneur alike fortune waiting new medium like mobile service online gaming mobile game account  revenue china  million mobile user online gaming sale predicted billion dollar year according uk-based journal screen digest video market seen big opportunity piracy level high despite anti-piracy drive past year cinema industry deployment digital screen accelerated just modernise venue curb piracy regulate distribution li ruigang president commercial broadcaster shanghai medium group told conference china new medium market experiencing explosive growth particularly strong charged broadband service mobile value-added service leading china-watcher founder cga consultancy jeanne-marie gescher agreed time ripe foreign medium group tap china huge medium market potential china medium driven investor care people consume medium - just want people consume mr gescher concluded	tech
1773	"Rusedski angry over supplements
"	greg rusedski criticised governing body men tennis releasing contamination-free supplement time new season rusedski said tried order didnt receive havent got think available december month body respond event come hottest period year hope stuff available british number escaped possible ban year persuaded tribunal positive doping test result contaminated atp supplement response atp struck deal pharmaceutical company glaxosmithkline provide contamination-free drink nutritional bar men tour david higdon vice president atp admitted agree greg loved thing available soon possible lot work make sure gone rigorous testing reality week tour spread far wide distribution agreement gsk education component werent going just drop product having talk player understanding use chance player meeting saturday australian open rusedski take roger federer qatar open later wednesday conceded imminent change beneficial good thing  guarantee hopefully happen said rusedski hopefully australian open wont discus	sport
1515	"Mutu to hold talks with Juventus
"	disgraced chelsea striker adrian mutu begin talk juventus look new club mutu club main stand watch match juventus fiorentina said juventus official declined named meet important people club added mutu  sacked chelsea banned seven month taking cocaine represented alessandro moggi son juve manager luciano moggi mutu banned english fa resume playing undergo drug education rehabilitation programme mutu want train romanian dinamo bucharest whilst serving ban say bucharest	sport
1727	"Wilkinson to miss Ireland match
"	england ireland nation captain goal-kicker jonny wilkinson according newcastle bos rob andrew wilkinson - targeted  february match international comeback - missed england goal-kicking jonnys fit falcon chief andrew told bbc radio live wont fit dublin there doubt fit scotland italy -year-old played england  world cup final succession injury england lost nation game row wasted - half-time lead - defeat france goal-kickers charlie hodgson olly barkley missed penalty attempt drop-goal theyve probably got best english kicker premiership hodgson barkley added andrew england fly-half goal-kicker theyre pretty good kicker charlie good kicker week-in week-out pressure unfortunately england just handling pressure moment andrew blamed england poor run recent result lack leadership following high-profile retirement injury just didnt leadership seen martin johnson lawrence dallaglio jonny obviously huge loss leadership important situation said think really difficult jason robinson lead effectively full-back england full-back dusty hare england mistake lack mental toughness jonny wilkinson proved cool customer  kicking success rate hare told bbc radio live natural-born toughness come practice able shut outside element concentrate putting ball post hodgson excellent kicking record club sale shark introduced crowd noise practice routine late golfer dont hit fairway time goal-kicking hare added need mental toughness ball great goal-kickers like jonny wilkinson come rarely	sport
412	"EC calls truce in deficit battle
"	european commission ec called truce battle france germany breaching deficit limit came france germany vowed run budget deficit eu cap  - time year ec did warn close scrutiny act fiscal situation deteriorated eu rule member country deficit  france germany breach year year row country broken european union stability growth pact rule eurozones biggest economy left pact tatter november  persuaded fellow eu member threat penalty deficit breach hold commission took pair european court human justice - ruled eu country pact abeyance confirmed ec right launch excessive debt procedure announcing decision erase france germany list deficit rule breaker eu said time lag created ruling meant  target year pair bring budget  commission concludes country appear track correct excessive deficit  said statement eu expects german deficit fall fall  gdp year  year france forecast drop  expected  year forecast based ec prediction gdp growth  germany year  france berlin welcomed decision finance minister han eichel saying showed ec recognised germany fiscal policy right track amid difficult economic condition paris subdued finance minister herve gaymard telling parliament continue path saving money critic european people party epp attacking ec backing punitive action commission buckling pressure germany france epp spokesman alexander radwan said scary fact budget sinner despite having repeatedly exceeded  deficit limit fear sanction despite commission delivering decision biggest eurozone economy refused comment similar action greece broken  deficit ceiling monetary affair commissioner joaquin almunia said matter week	business
1591	"Newcastle line up Babayaro
"	newcastle manager graeme souness closing signing chelsea defender celestine babayaro transfer window reopens souness bidding bolster defence according report contract negotiation advanced stage player babayaro premiership  moved chelsea  anderlecht -year-old surplus requirement season souness drawn specific individual player said tell chairman worked really hard couple month try deal said day want strengthen hoping coming week	sport
808	"Fry set for role in Hitchhiker's
"	actor stephen fry joining cast forthcoming film adaptation hitchhiker guide galaxy fry provide voice guide electronic book accompanies story hero arthur dent travel galaxy martin freeman john malkovich nighy alan rickman co-starring film release late douglas adam original  script turned series successful book asked voice guide like having birthday christmas day discovering winning lottery ticket stocking having chocolate poured said fry self-confessed fan book film executive producer robbie stamp said adam died  delighted choice fry role humour intelligence perfect voice guide added mr stamp adam wrote screenplay based book premature death new radio series aired  year broadcast included original cast member hollywood star malkovich play religious cult leader humma kavula especially created adam new film freeman starred hit bbc comedy office play role arthur dent begin intergalactic voyage following destruction earth	entertainment
691	"Top stars join US tsunami TV show
"	brad pitt robert niro hugh grant added line-up two-hour tv special raise money victim asian tsunami andy garcia lucy liu natalie portman jay leno new name saturday tsunami aid join a-list singer madonna sir elton john nelly usher plus actor kevin spacey halle berry george clooney nbc broadcast viewer urged phone make donation night norah jones diana ross stevie wonder maroon  mary j blige eric clapton musical performance described concert hope catherine zeta jones michael douglas bruce willis uma thurman matt damon drew barrymore tim robbins movie superstar appearance george clooney recently reacted angrily tv host suggestion fund raised tsunami relief fox tv oreilly said watching money get tsunami victim warned celebrity taking better involved way line clooney accused oreilly creating fuss personal gain saying viewer afraid money good urged oreilly co-present tv special adding letter playing game trying save life simple - youre joint effort organiser say fund american red cross commercial-free benefit aired string cable broadcaster clear channel radio station addition performance available buy internet downloads sonys connect music store similar tv benefit carried primary tv network  september terror attack raised   - bangkok international film festival got way thursday thai capital shadow country  death tsunami red carpet gala opening night ditched favour subdued night different film shown cinema money ticket sale going charity	entertainment
791	"Rap feud in 50 Cent's G-Unit crew
"	rap star  cent said thrown protege game g-unit gang feud apparently involved shooting radio interview monday  cent said newcomer disloyal conflict rapper man shot thigh outside new york hot  studio  cent air shot fired outside management office hour later  cent appeared game debut album number  cent second album released debut hip-hop biggest star involved recent rivalry fellow artist including fat joe na jadakiss claimed credit success game hottest new star rap scene drug dealer shot turning music interview hot  saturday game described  cent rival friend said turn na friend jadas really homie said  beef  beef really dont know stem  cent appeared station day later said game longer member g-unit record he selling based record said shooting took place outside studio interview ended rapper escorted building security personnel unidentified -year-old los angeles man stable gunshot wound upper thigh police say game associate heard interview gone studio confronted  cent entourage officer investigating later shooting bullet fired door  cent management company violator arrest relation incident  cent second album massacre released thursday week game debut documentary went number elliott wilson editor-in-chief hip-hop magazine xxl said feud boost publicity  cent release help obviously term exposure ask better promotion said added think he making enemy definitely feel like doing tupac spiral like world bring people wanting fail tupac shakur shot dead	entertainment
418	"$1m payoff for former Shell boss
"	shell pay   ex-finance chief stepped post april  firm over-stated reserve judy boynton finally left firm  december having spent intervening time special advisor chief executive jeroen van der veer january  shell told shocked investor reserve  smaller previously thought shell said pay-off line m boyntons contract leaving mutual agreement pursue career opportunity firm said statement severance package mean keep long-term share option fails collect  incentive plan firm failed meet target included revelation shell inflated reserve led resignation chairman sir phil watt production chief walter van der vijver investigation commissioned shell m boynton share responsibility company behaviour despite receiving email mr van vijver said firm fooled market reserve investigation said did inquire shell restated reserve time  september paid  fine regulator side atlantic violating market rule reporting reserve	business
1412	"Mido makes third apology
"	ahmed mido hossam apology egyptian people attempt rejoin national team -year-old told news conference cairo sunday sorry problem led exclusion pharaoh july year mido said isnt say today say came specially england egypt rejoin national team apologise mistake mido axed coach marco tardelli failing answer national call-up claiming groin injury played friendly club rom  hour world cup qualifying match home cameroon september mido added right order say want play time make sure national team match priority feel national player playing new spirit saw play belgium egypt won - wednesday simply want add success confess rude egyptian press time gained experience know press support international star like david beckham zinedine zidane press opposing im used fact press time dont overreact happens egypt fa spokesman methat shalaby welcomed apology said exerted pressure mido apologise midos apology today doe negatively affect mido contrary make bigger star role model football player shalaby said shalaby earlier said apology mido available national coach hassan shehata chose mido joined tottenham -month loan deal near end january transfer window scoring twice debut portsmouth	sport
353	"Asia shares defy post-quake gloom
"	thailand  southern asian nation battered giant wave weekend cut economic forecast thailand economy expected grow    forecast tsunami hit tourist province economic cost disaster remain unclear scale delivering aid recovering dead remain priority indonesian indian hong kong stock market reached record high wednesday suggesting investor fear major economic impact high showed gap outlook investor large firm individual lost livelihood investor feel worst-affected area - aceh indonesia - under-developed tragedy little impact asia listed company according analyst obviously lot loss life lot time needed clean mess bury people missing necessarily really big thing economic sense said abn amro chief asian strategist eddie wong india bombay stock exchange inched slightly previous record close wednesday expectation strong corporate earnings  drove indonesian stock exchange jakarta record high wednesday hong kong hang seng index benefiting potential listed property company gain rebuilding contract tsunami-affected region south east asia sri lanka economist said  annual growth lost sri lankas stock market fallen  weekend  higher start  thailand lose  baht   earnings tourism month according tourism minister sontaya kunplome affected province expects loss tourism revenue offset government reconstruction spending thailand intends spend similar sum -  baht - rebuilding work fourth quarter year tourist visitor phuket province return normal level said naris chaiyasoot director general ministry fiscal policy office maldives cost reconstruction wipe economic growth according government spokesman nation peril said ahmed shaheed chief government spokesman estimated economic cost disaster hundred million dollar maldives gross domestic product  wont surprising cost exceeds gdp said year great progress standard living - united nation recognised disappear day minute shaheed noted investment single tourist resort - economic mainstay - run    -odd resort severely damaged similar number suffered significant damage expert including world bank pointed difficult ass magnitude disaster likely economic impact	business
1266	"Howard pitches for UK ethnic vote
"	michael howard make pitch britain ethnic vote urging people feel taken granted tony blair vote conservative say conservative share value uk minority want build better britain colour skin religion make talent tory leader argue positive discrimination saying outdated unjust set family family lead ethnic community doubt ability argue mr howard - son immigrant - acknowledge racial discrimination exists uk people ethnic community example earn white counterpart say arguing answer helping free enterprise free trade free speech tory leader religious tolerance arguing hindu sikh muslim got caught downdraft islamaphobia terrible effect / mr howard make speech visit support tory parliamentary hopeful robert light sayeeda warsi - british muslim woman selected run mp conservative candidate attack labour record government issue tax set tory plan immigration quota set mp mr howard attack lib dems wanting abolish faith school introduce compulsory sex education age seven contraceptive school age  say people ethnic minority feel mr blair liberal democrat vote granted - come join say lib dem president simon hughes branded mr howard arrogant wrong claiming tory natural party britain ethnic minority given tory considerably reduced support urban area black asian briton live time power evidence simply doe support claim conservative party community said	politics
